numCol;Title;Start;End;Description;Web Page;Media;Media Caption;Media Credit;Tags;Place;Location;Source;Source URL
1;<br/><br/><br/>;-508;;<ol class="triade" style="display:block;list-style-type:decimal;"><li></li><li></li><li></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2153,0.0644,0.0990,0.0258;;;;;;;
2;<br/><br/><br/>;-507;;<ol class="triade" style="display:block;list-style-type:decimal;"><li></li><li></li><li></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2153,0.0900,0.0946,0.0295;;;;;;;
3;<br/><br/><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πουλύαναξ Θρασ | [.. ? ..]</a>;-506;;<ol class="triade" style="display:block;list-style-type:decimal;"><li></li><li></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2172,0.1188,0.0911,0.0261;;;;;;;
4;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἱπποκράτης Μυρπ[.. ? ..]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/V1-39232" title="nNe1stis">Λεαγόρης Νέστιο[ς]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/V1-39234" title="nA1skutos">Πέταλος Ἀσκύτ[ου]</a>;-505;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"><dt class="nom" style="display:block;"><a href="http://www.lgpn.ox.ac.uk/id/" title="">Νέστις</a></dt><dd class="infos" style="display:block;">525 av. J.-C. - 475 av. J.-C.<br/><span style="color:red;">En-505, aurait entre 20 et 30 ans </span> </dd><dd class="attestation">cf. <a href="http://epigraphy.packhum.org/inscriptions/oi?ikey=79465">IG XII (8) 275, 14</a>= BCH Suppl. 5 (1979) p. 116 II</dd></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"><dt class="nom" style="display:block;"><a href="http://www.lgpn.ox.ac.uk/id/" title="">῎Ασκυτος</a></dt><dd class="infos" style="display:block;">525 av. J.-C. - 475 av. J.-C.<br/><span style="color:red;">En-505, aurait entre 20 et 30 ans </span> </dd><dd class="attestation">cf. <a href="http://epigraphy.packhum.org/inscriptions/oi?ikey=79465">IG XII (8) 275, 15</a>= BCH Suppl. 5 (1979) p. 116 II</dd></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2167,0.1459,0.0809,0.0286;;;;;;;
5;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀριστόπολις Κρα[.. ? ..]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/V1-3462" title="nFano1lews">Πρηξίπολις Φανόλ[εω]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Φάλων Μίκου</a>;-504;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"><dt class="nom" style="display:block;"><a href="http://www.lgpn.ox.ac.uk/id/" title="">Φανόλεως</a></dt><dd class="infos" style="display:block;">325 av. J.-C. - 275 av. J.-C.<br/><span style="color:red;">En-504, aurait entre 179 et 229 ans </span> </dd><dd class="attestation">cf. <a href="http://epigraphy.packhum.org/inscriptions/oi?ikey=">IG XII (5) 609 II, 86 + p. 333</a>= </dd></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"><dt class="nom" style="display:block;"><a href="http://www.lgpn.ox.ac.uk/id/" title="">Μῖκος</a></dt><dd class="infos" style="display:block;">525 av. J.-C. - 475 av. J.-C.<br/><span style="color:red;">En-504, aurait entre 21 et 29 ans </span> </dd><dd class="attestation">cf. <a href="http://epigraphy.packhum.org/inscriptions/oi?ikey=79465">IG XII (8) 275, 18</a>= BCH Suppl. 5 (1979) p. 116 II</dd></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2156,0.1748,0.0856,0.0246;;;;;;;
6;<br/><a href="http://www.lgpn.ox.ac.uk/id/V1-39243" title="nDhmofw3n">Δημοφῶν Ξεῖνιος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἰφικλῆς Λεωφάνε[υς]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Μέγων Περιάνδρ[ου]</a>;-503;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"><dt class="nom" style="display:block;"><a href="http://www.lgpn.ox.ac.uk/id/" title="">Δημοφῶν</a></dt><dd class="infos" style="display:block;">525 av. J.-C. - 475 av. J.-C.<br/><span style="color:red;">En-503, aurait entre 22 et 28 ans </span> </dd><dd class="attestation">cf. <a href="http://epigraphy.packhum.org/inscriptions/oi?ikey=79465">IG XII (8) 275, 19</a>= BCH Suppl. 5 (1979) p. 116 II</dd></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"><dt class="nom" style="display:block;"><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ξεῖνις</a></dt><dd class="infos" style="display:block;">525 av. J.-C. - 475 av. J.-C.<br/><span style="color:red;">En-503, aurait entre 22 et 28 ans </span> </dd><dd class="attestation">cf. <a href="http://epigraphy.packhum.org/inscriptions/oi?ikey=79465">IG XII (8) 275, 19</a>= BCH Suppl. 5 (1979) p. 116 II</dd></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2148,0.1997,0.0869,0.0289;;;;;;;
7;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Γόργος Ἐχεκρά[τευς]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ὕψιτος Φανόλεω</a><br/>;-502;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2150,0.2292,0.0878,0.0322;;;;;;;
8;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[Γόργος ][Ἀρ]ισ[τομήδου]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Στησαγόρης Ἀρισ[.. ? ..]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ξεινήρης Ἀριστοκ[λέος]</a>;-501;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2131,0.2623,0.0927,0.0280;;;;;;;
9;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἐξάλλαξις Σίμο[υ]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Δημῶναξ Πυθόλε[ω]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Φαίηλος Γόργου</a>;-500;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2137,0.2906,0.0886,0.0292;;;;;;;
10;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Δημοκράτης Νύμφιος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Χαιτίδης Ἀριστάρχου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Δηΐλλεος Βραττίδεω</a>;-499;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2134,0.3179,0.0946,0.0319;;;;;;;
11;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πασίης Κλεοκρίτου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πυ[ρ]ρίης Εὐφρίλλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πρηξαγόρης Τετρίχου</a>;-498;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2142,0.3480,0.0941,0.0319;;;;;;;
12;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Κλεανακτίδης Ἀντιχαρίνου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Πρηξίπολις Πρυλίου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Φάνιππος Βραττίδεω</a>;-497;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2128,0.3778,0.1086,0.0328;;;;;;;
13;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀριστοκλῆς Πρηξαγόρεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Διότιμος Εὐφρίλλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀριστοφῶν Ὑψοκλέος</a>;-496;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2115,0.4082,0.1045,0.0316;;;;;;;
14;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀρίζηλος Χαρίλλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ποσίδειος Πρόκεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Μαχέων Πολυάλθεος</a>;-495;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.4380,0.1034,0.0316;;;;;;;
15;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Μικαλλῆς Φιλιστίδεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Ἀρχέπολις Πυθόλεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">Λάλλης Ἀρτυσίλεω</a>;-494;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.4678,0.0968,0.0322;;;;;;;
16;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ος Αὐτονίκου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ς Παγκλέος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..][Εὐφρ]ίλλου</a>;-493;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.4997,0.1083,0.0280;;;;;;;
17;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]Δημ[.. ? ..]</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]γορης Φανόλεω</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ρατης Θυωνίδεω</a>;-492;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2093,0.5271,0.1086,0.0301;;;;;;;
18;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ς̣Μέγωνος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ος Ἀριστοφάνεος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ρος Πολυαινέτου</a>;-491;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2104,0.5562,0.1081,0.0304;;;;;;;
19;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]μης Σιμαλίωνος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]δρος Ἀριστοκλέος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]αχος Λεωφάνευς</a>;-490;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.5851,0.1108,0.0286;;;;;;;
20;<br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]ος Κλεάριος</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]Χειροβούλου</a><br/><a href="http://www.lgpn.ox.ac.uk/id/" title="">[.. ? ..]τρατος Ἀττάλεω</a>;-489;;<ol class="triade" style="display:block;list-style-type:decimal;"><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li><li><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl><dl class="personne" style="display:block;margin-bottom:1em;margin-top:0.5em;"></dl></li></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2095,0.6116,0.1070,0.0301;;;;;;;
21;;-488;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2101,0.6413,0.1037,0.0316;;;;;;;
22;;-487;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.6739,0.1001,0.0292;;;;;;;
23;;-486;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2101,0.7030,0.1007,0.0316;;;;;;;
24;;-485;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2098,0.7350,0.0987,0.0304;;;;;;;
25;;-484;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2098,0.7653,0.0976,0.0331;;;;;;;
26;;-483;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2104,0.7991,0.0949,0.0271;;;;;;;
27;;-482;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.8267,0.0927,0.0301;;;;;;;
28;;-481;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2106,0.8565,0.0927,0.0280;;;;;;;
29;;-480;;<ol class="triade" style="display:block;list-style-type:decimal;"></ol>;;http://data.perseus.org/collections/urn:cite:perseus:vwimg.2v0Y62lekYY@0.2112,0.8842,0.0913,0.0295;;;;;;;
